Year,Playlist,Song,Artist,Popularity,Explicit,Duration (ms),Album,Release Date,Artist Popularity,Artist Followers,Genres
2022,2022,About Damn Time,Lizzo,16,True,191822,About Damn Time,2022-04-14,72,5717162,unknown
2022,2022,Lavender Haze,Taylor Swift,76,True,202395,Midnights,2022-10-21,98,137087401,unknown
2022,2022,Envolver,Anitta,71,False,193805,Envolver,2021-11-11,82,13132474,"brazilian pop, funk pop, funk carioca, funk, pagode baiano"
2022,2022,DESPECHÁ,ROSALÍA,75,True,157017,DESPECHÁ,2022-07-28,78,8480270,latin
2022,2022,Oh My God,Adele,75,False,225148,30,2021-11-19,87,64044997,soft pop
2022,2022,abcdefu,GAYLE,77,True,168601,abcdefu,2021-08-13,62,658282,unknown
2022,2022,Cold Heart - PNAU Remix,Elton John,71,False,202735,The Lockdown Sessions,2021-10-22,84,14829951,unknown
2022,2022,Shivers,Ed Sheeran,85,False,207853,=,2021-10-25,90,120341520,soft pop
2022,2022,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,71,False,154486,Left and Right (Feat. Jung Kook of BTS),2022-06-24,81,24521691,"soft pop, pop"
2022,2022,Infinity,Jaymes Young,79,False,237720,Feel Something,2017-06-23,67,1008463,unknown
2022,2022,THATS WHAT I WANT,Lil Nas X,77,True,143901,MONTERO,2021-09-17,76,12355197,unknown
2022,2022,Sunroof,Nicky Youre,5,False,163025,Sunroof,2021-11-26,67,306971,unknown
2022,2022,I Ain't Worried,OneRepublic,85,False,148485,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,85,18240266,soft pop
2022,2022,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,78,True,204763,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021-09-16,67,524063,"alté, afrobeats"
2022,2022,MAMIII,Becky G,73,False,226088,MAMIII,2022-02-10,78,16287125,"reggaeton, latin"
2022,2022,Desesperados,Rauw Alejandro,83,True,224996,VICE VERSA,2021-12-10,92,28426510,"reggaeton, urbano latino, trap latino, latin"
2022,2022,Super Freaky Girl,Nicki Minaj,71,True,170977,Super Freaky Girl,2022-08-12,87,33861595,unknown
2022,2022,Out of Time,The Weeknd,78,False,214193,Dawn FM,2022-01-06,97,104637000,unknown
2022,2022,Boyfriend,Dove Cameron,75,True,153000,Boyfriend,2022-02-11,74,5451984,unknown
2022,2022,Pink Venom,BLACKPINK,66,False,186964,Pink Venom,2022-08-19,80,53770168,k-pop
2022,2022,Shirt,SZA,68,True,181830,Shirt,2022-10-28,93,29649902,r&b
2022,2022,Under The Influence,Chris Brown,85,True,184613,Indigo (Extended),2019-10-04,90,26359652,r&b
2022,2022,SNAP,Rosa Linn,2,False,179551,SNAP PACK,2022-07-15,66,441729,unknown
